machine_id,reading_time,current,current_alert,location,name,state,type
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:38:11.036510,14.07,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:38:58.835080,14.28,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:39:43.717050,13.88,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:40:28.428040,14.15,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:41:16.464080,14.31,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:48:18.412090,13.52,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:49:02.287950,14.09,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:49:45.086800,14.11,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:50:33.645750,14.16,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:51:19.173190,14.07,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:52:03.374860,13.77,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:52:45.683340,14.33,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:56:24.128510,13.64,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:58:49.109200,13.81,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T20:59:36.937500,13.75,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T21:00:22.319670,14.15,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
b96c8f1c-b0a3-4fd1-9750-214fd527dde0,2015-11-29T21:01:05.929300,14.09,18,"0.0,0.0",DMG NTX 2000 (MAPPS) [#14],working,lathe
